pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
187.75,-149.25,0.0,top,W21,,,SolderWire_TC,ToRevTX,tht
244.75,-149.25,0.0,top,W22,,,SolderWire_TC,RevProtectorGND,tht
108.5,-100.0,0.0,top,W23,,,SolderWire_TC,IntWiper,tht
220.0,-149.25,0.0,top,W24,,,SolderWire_TC,3-6,tht
131.75,-149.25,0.0,top,W25,,,SolderWire_TC,4-6,tht
93.0,-100.0,0.0,top,W26,,,SolderWire_TC,IntTop,tht
100.5,-100.0,0.0,top,W27,,,SolderWire_TC,IntBot,tht
186.0,-100.0,0.0,top,W28,,,SolderWire_TC,2-2,tht
214.75,-149.25,0.0,top,W29,,,SolderWire_TC,3-7,tht
312.25,-100.0,0.0,top,W3,,,SolderWire_TC,TrebTop,tht
234.0,-100.0,0.0,top,W30,,,SolderWire_TC,RevPotTop,tht
130.6,-100.0,0.0,top,W31,,,SolderWire_TC,SpeedPotTop,tht
137.25,-149.25,0.0,top,W32,,,SolderWire_TC,4-7,tht
241.0,-100.0,0.0,top,W33,,,SolderWire_TC,RevPotWiper,tht
191.25,-100.0,0.0,top,W34,,,SolderWire_TC,2-8,tht
209.25,-149.25,0.0,top,W35,,,SolderWire_TC,3-8,tht
227.75,-100.0,0.0,top,W36,,,SolderWire_TC,RevPotBot,tht
138.5,-100.0,0.0,top,W37,,,SolderWire_TC,SpeedPotBot,tht
142.75,-149.25,0.0,top,W38,,,SolderWire_TC,4-8,tht
72.5,-149.25,0.0,top,W39,,,SolderWire_TC,ACBiasIn,tht
308.5,-149.25,0.0,top,W4,,,SolderWire_TC,1-6,tht
116.75,-149.25,0.0,top,W40,,,SolderWire_TC,BToCapCanB,tht
93.5,-149.25,0.0,top,W41,,,SolderWire_TC,AToCapCanA,tht
148.25,-149.25,0.0,top,W42,,,SolderWire_TC,VibPedGND,tht
235.25,-149.25,0.0,top,W43,,,SolderWire_TC,RevPedalGND,tht
72.5,-100.0,0.0,top,W44,,,SolderWire_TC,GNDToCapCan,tht
104.25,-149.25,0.0,top,W45,,,SolderWire_TC,A'ToCapCanC,tht
154.4,-149.25,0.0,top,W46,,,SolderWire_TC,VibPedSig,tht
255.0,-149.25,0.0,top,W5,,,SolderWire_TC,3-1,tht
176.5,-149.25,0.0,top,W6,,,SolderWire_TC,4-1,tht
160.0,-149.25,0.0,top,W7,,,SolderWire_TC,6V6A,tht
260.5,-149.25,0.0,top,W8,,,SolderWire_TC,3-2,tht
226.75,-149.25,0.0,top,W9,,,SolderWire_TC,4-2stop,tht
